
2025-07-30 12:13:26 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 0.0s)
2025-07-30 12:13:26 | INFO     | database_manager     | Calculated performance: 100.0% (no production cycles yet - using default)
2025-07-30 12:13:26 | INFO     | database_manager     | Calculated quality: 100.0% (0 good parts of 0 total)
2025-07-30 12:13:26 | INFO     | database_manager     | Calculated OEE: 100.0% (A:100.0% × P:100.0% × Q:100.0%)
2025-07-30 12:13:26 | INFO     | main                 | New shift #1 started successfully
2025-07-30 12:13:26 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 0.0s)
2025-07-30 12:13:26 | INFO     | database_manager     | Calculated performance: 100.0% (no production cycles yet - using default)
2025-07-30 12:13:26 | INFO     | database_manager     | Calculated quality: 100.0% (0 good parts of 0 total)
2025-07-30 12:13:26 | INFO     | database_manager     | Calculated OEE: 100.0% (A:100.0% × P:100.0% × Q:100.0%)
2025-07-30 12:13:29 | INFO     | main                 | Detection triggered - First cycle of shift
2025-07-30 12:13:29 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-30 12:13:29 | INFO     | inference_engine     | Inference completed in 35.4ms - Status: DEFECT DETECTED
2025-07-30 12:13:29 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-30 12:13:29 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 3.1s)
2025-07-30 12:13:29 | INFO     | database_manager     | Calculated performance: 100.0% (average of 1 cycles)
2025-07-30 12:13:29 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 1 total)
2025-07-30 12:13:29 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-30 12:14:12 | INFO     | main                 | Detection triggered - Operator cycle time: 43.22s
2025-07-30 12:14:12 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-30 12:14:12 | INFO     | inference_engine     | Inference completed in 37.0ms - Status: DEFECT DETECTED
2025-07-30 12:14:12 | WARNING  | inference_engine     | Defects detected: 1 detections found
